Codigo;Materia
PGC7051;COCINA NUTRICIONAL III
ICO402;COSTOS Y PRESUPUESTOS
IA504;COSTOS Y PRESUPUESTOS
PGC701;PLAN DE NEGOCIOS
PDS024;COSTOS Y PRESUPUESTOS
TGTV305;COSTOS Y PRESUPUESTOS EN EMPRESA DE TURISMO
PGC7052;MERCADOS Y CLIENTES III
PGC302;CULTURA GASTRONÓMICA COLOMBIANA I
PGC402;CULTURA GASTRONÓMICA COLOMBIANA II 
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
TSG103;COCINA BÁSICA
PDS013;CULTURA INVESTIGATIVA
TSG101;FORMACIÓN DEMOCRATICA Y CIUDADANA
TSG101;FORMACIÓN DEMOCRATICA Y CIUDADANA
TSG101;FORMACIÓN DEMOCRATICA Y CIUDADANA
PDS028;CULTURA, TERRITORIO Y DESARROLLO
TSG104;GESTIÓN ADMINISTRATIVA
TSG104;GESTIÓN ADMINISTRATIVA
TSG104;GESTIÓN ADMINISTRATIVA
TSG104;GESTIÓN ADMINISTRATIVA
GC213;DERECHO ADMINISTRATIVO
TSG102;HABILIDADES COMUNICATIVAS
TSG102;HABILIDADES COMUNICATIVAS
TSG102;HABILIDADES COMUNICATIVAS
SA100;DESARROLLO A LA COMUNIDAD
TSG106;INTRODUCCIÓN AL SERVICIO GASTRONÓMICO
TSG106;INTRODUCCIÓN AL SERVICIO GASTRONÓMICO
TSG106;INTRODUCCIÓN AL SERVICIO GASTRONÓMICO
INS068;DESARROLLO HUMANO (VIRTUAL)
TSG105;MATEMÁTICA
TSG105;MATEMÁTICA
TSG105;MATEMÁTICA
TSG105;MATEMÁTICA
PDS033;DESARROLLO RURAL
TSG107;MATERIAS PRIMAS
TSG107;MATERIAS PRIMAS
TSG107;MATERIAS PRIMAS
EPU007;DESARROLLO SOCIAL URBANO
TSG204;INFORMÁTICA APLICADA
TSG204;INFORMÁTICA APLICADA
TSG204;INFORMÁTICA APLICADA
AET202;DESARROLLO TURÍSTICO SOSTENIBLE
TSG207;SELECCIÓN Y PREPARACIÓN DE CARNES I
TSG207;SELECCIÓN Y PREPARACIÓN DE CARNES I
TSG207;SELECCIÓN Y PREPARACIÓN DE CARNES I
TSG207;SELECCIÓN Y PREPARACIÓN DE CARNES I
TSG207;SELECCIÓN Y PREPARACIÓN DE CARNES I
